2016-06-0622:00:00,1,-0.04,-0.87107.54,107.5
2016-06-0623:00:00,-1,-0.02,-0.89107.5,107.52
2016-06-0700:00:00,-1, 0.08,-0.81107.52,107.44
2016-06-0701:00:00,-1, 0.12,-0.69107.44,107.32
2016-06-0702:00:00,-1,-0.28,-0.97107.32,107.6
2016-06-0703:00:00,0, 0.,-0.97107.6,107.71
2016-06-0704:00:00,-1,-0.1,-1.07107.71,107.81
2016-06-0705:00:00,-1, 0.14,-0.93107.81,107.67
2016-06-0706:00:00,1,-0.03,-0.96107.67,107.64
2016-06-0707:00:00,0,-0.,-0.96107.64,107.57
2016-06-0708:00:00,1, 0.15,-0.81107.57,107.72
2016-06-0709:00:00,-1,-0.,-0.81107.72,107.72
2016-06-0710:00:00,1, 0.06,-0.75107.72,107.78
2016-06-0711:00:00,-1, 0.03,-0.72107.78,107.75
2016-06-0712:00:00,-1, 0.05,-0.67107.75,107.7
2016-06-0713:00:00,1,-0.2,-0.87107.7,107.5
2016-06-0714:00:00,1,-0.17,-1.04107.5,107.33
2016-06-0715:00:00,1,-0.14,-1.18107.33,107.19
2016-06-0716:00:00,-1,-0.11,-1.29107.19,107.3
2016-06-0717:00:00,1, 0.11,-1.18107.3,107.41
2016-06-0718:00:00,1,-0.15,-1.33107.41,107.26
2016-06-0719:00:00,1, 0.03,-1.3107.26,107.29
2016-06-0720:00:00,1, 0.03,-1.27107.29,107.32
2016-06-0721:00:00,-1,-0.02,-1.29107.32,107.34
2016-06-0722:00:00,-1, 0.03,-1.26107.34,107.31
2016-06-0723:00:00,-1, 0.03,-1.23107.31,107.28
2016-06-0800:00:00,1, 0.01,-1.22107.28,107.29
2016-06-0801:00:00,1,-0.28,-1.5107.29,107.01
2016-06-0802:00:00,1,-0.28,-1.78107.01,106.73
2016-06-0803:00:00,1, 0.16,-1.62106.73,106.89
2016-06-0804:00:00,1, 0.28,-1.34106.89,107.17
2016-06-0805:00:00,1,-0.18,-1.52107.17,106.99
2016-06-0806:00:00,1, 0.09,-1.43106.99,107.08
2016-06-0807:00:00,1, 0.03,-1.4107.08,107.11
2016-06-0808:00:00,-1, 0.13,-1.27107.11,106.98
2016-06-0809:00:00,1, 0.1,-1.17106.98,107.08
2016-06-0810:00:00,-1, 0.03,-1.14107.08,107.05
2016-06-0811:00:00,1,-0.02,-1.16107.05,107.03
2016-06-0812:00:00,1,-0.02,-1.18107.03,107.01
2016-06-0813:00:00,1,-0.07,-1.25107.01,106.94
2016-06-0814:00:00,1,-0.14,-1.39106.94,106.8
2016-06-0815:00:00,1,-0.2,-1.59106.8,106.6
2016-06-0816:00:00,-1,-0.06,-1.65106.6,106.66
2016-06-0817:00:00,-1,-0.13,-1.78106.66,106.79
2016-06-0818:00:00,1, 0.03,-1.75106.79,106.82
