2017-05-1402:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1403:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1404:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1405:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1406:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1407:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1408:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1409:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1410:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1411:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1412:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1413:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1414:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1415:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1416:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1417:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1418:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1419:00:00,: Prediction = ,[0],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.16
2017-05-1420:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.16,:,113.17
2017-05-1421:00:00,: Prediction = ,[0],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.19],=====,113.17,:,113.12
2017-05-1422:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.1],===== Acumulative PL = ,[-0.29],=====,113.12,:,113.22
2017-05-1423:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.08],===== Acumulative PL = ,[-0.37],=====,113.22,:,113.3
2017-05-1500:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.05],===== Acumulative PL = ,[-0.42],=====,113.3,:,113.25
2017-05-1501:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.13],===== Acumulative PL = ,[-0.55],=====,113.25,:,113.38
2017-05-1502:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.03],===== Acumulative PL = ,[-0.58],=====,113.38,:,113.35
2017-05-1503:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.02],===== Acumulative PL = ,[-0.56],=====,113.35,:,113.37
2017-05-1504:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.01],===== Acumulative PL = ,[-0.57],=====,113.37,:,113.38
2017-05-1505:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.04],===== Acumulative PL = ,[-0.61],=====,113.38,:,113.34
2017-05-1506:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.02],===== Acumulative PL = ,[-0.63],=====,113.34,:,113.36
2017-05-1507:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.26],===== Acumulative PL = ,[-0.37],=====,113.36,:,113.62
2017-05-1508:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.02],===== Acumulative PL = ,[-0.35],=====,113.62,:,113.64
2017-05-1509:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.09],===== Acumulative PL = ,[-0.44],=====,113.64,:,113.55
2017-05-1510:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.12],===== Acumulative PL = ,[-0.56],=====,113.55,:,113.43
2017-05-1511:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.01],===== Acumulative PL = ,[-0.57],=====,113.43,:,113.42
2017-05-1512:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.06],===== Acumulative PL = ,[-0.63],=====,113.42,:,113.48
2017-05-1513:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.17],===== Acumulative PL = ,[-0.46],=====,113.48,:,113.31
2017-05-1514:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.32],===== Acumulative PL = ,[-0.14],=====,113.31,:,113.63
2017-05-1515:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.03],===== Acumulative PL = ,[-0.17],=====,113.63,:,113.6
2017-05-1516:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.07],===== Acumulative PL = ,[-0.24],=====,113.6,:,113.53
2017-05-1517:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.04],===== Acumulative PL = ,[-0.2],=====,113.53,:,113.57
2017-05-1518:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.24],===== Acumulative PL = ,[ 0.04],=====,113.57,:,113.81
2017-05-1519:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.14],===== Acumulative PL = ,[-0.1],=====,113.81,:,113.67
2017-05-1520:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.07],===== Acumulative PL = ,[-0.17],=====,113.67,:,113.74
2017-05-1521:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.03],===== Acumulative PL = ,[-0.14],=====,113.74,:,113.77
2017-05-1522:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.18],===== Acumulative PL = ,[-0.32],=====,113.77,:,113.59
2017-05-1523:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.04],===== Acumulative PL = ,[-0.36],=====,113.59,:,113.63
2017-05-1600:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.36],=====,113.63,:,113.63
2017-05-1601:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.05],===== Acumulative PL = ,[-0.31],=====,113.63,:,113.68
2017-05-1602:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.15],===== Acumulative PL = ,[-0.46],=====,113.68,:,113.53
2017-05-1603:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.11],===== Acumulative PL = ,[-0.57],=====,113.53,:,113.42
2017-05-1604:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.08],===== Acumulative PL = ,[-0.49],=====,113.42,:,113.5
2017-05-1605:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.49],=====,113.5,:,113.5
2017-05-1606:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.03],===== Acumulative PL = ,[-0.52],=====,113.5,:,113.47
2017-05-1607:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.2],===== Acumulative PL = ,[-0.32],=====,113.47,:,113.27
2017-05-1608:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.17],===== Acumulative PL = ,[-0.15],=====,113.27,:,113.44
2017-05-1609:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.14],===== Acumulative PL = ,[-0.01],=====,113.44,:,113.58
2017-05-1610:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.04],===== Acumulative PL = ,[ 0.03],=====,113.58,:,113.54
