2016-08-2408:00:00,1,-0.25, 4.75,327.0,326.75
2016-08-2409:00:00,1,-0.5, 4.25,326.75,326.25
2016-08-2410:00:00,-1, 0.25, 4.5,326.25,326.0
2016-08-2411:00:00,1, 0., 4.5,326.0,326.0
2016-08-2412:00:00,1, 0.25, 4.75,326.0,326.25
2016-08-2413:00:00,-1,-0.5, 4.25,326.25,326.75
2016-08-2414:00:00,-1,-2.5, 1.75,326.75,329.25
2016-08-2415:00:00,-1,-1., 0.75,329.25,330.25
2016-08-2416:00:00,1,-3.,-2.25,330.25,327.25
2016-08-2417:00:00,1, 0.5,-1.75,327.25,327.75
2016-08-2418:00:00,1,-0.5,-2.25,327.75,327.25
2016-08-2419:00:00,0, 0.,-2.25,327.25,327.75
2016-08-2500:00:00,-1, 0.25,-2.,327.75,327.5
2016-08-2501:00:00,-1,-0.25,-2.25,327.5,327.75
2016-08-2502:00:00,-1, 0.25,-2.,327.75,327.5
2016-08-2503:00:00,0, 0.,-2.,327.5,327.75
2016-08-2504:00:00,-1,-0.,-2.,327.75,327.75
2016-08-2505:00:00,1, 0.5,-1.5,327.75,328.25
2016-08-2506:00:00,1,-0.25,-1.75,328.25,328.0
2016-08-2507:00:00,1, 0.,-1.75,328.0,328.0
2016-08-2508:00:00,-1, 0.5,-1.25,328.0,327.5
2016-08-2509:00:00,1, 0.,-1.25,327.5,327.5
2016-08-2510:00:00,-1, 0.25,-1.,327.5,327.25
2016-08-2511:00:00,-1, 0.75,-0.25,327.25,326.5
2016-08-2512:00:00,-1,-1.25,-1.5,326.5,327.75
2016-08-2513:00:00,1,-0.75,-2.25,327.75,327.0
2016-08-2514:00:00,1,-2.,-4.25,327.0,325.0
2016-08-2515:00:00,1, 1.5,-2.75,325.0,326.5
2016-08-2516:00:00,1,-1.25,-4.,326.5,325.25
2016-08-2517:00:00,1,-1.25,-5.25,325.25,324.0
2016-08-2518:00:00,0,-0.,-5.25,324.0,323.75
2016-08-2519:00:00,-1,-0.,-5.25,323.75,323.75
2016-08-2523:00:00,-1, 0.25,-5.,323.75,323.5
2016-08-2601:00:00,1, 0.5,-4.5,323.5,324.0
2016-08-2602:00:00,-1,-0.5,-5.,324.0,324.5
2016-08-2603:00:00,-1, 0.5,-4.5,324.5,324.0
2016-08-2604:00:00,1,-0.75,-5.25,324.0,323.25
2016-08-2605:00:00,0, 0.,-5.25,323.25,324.0
2016-08-2606:00:00,-1, 0.75,-4.5,324.0,323.25
2016-08-2607:00:00,-1,-0.75,-5.25,323.25,324.0
2016-08-2608:00:00,1,-0.25,-5.5,324.0,323.75
2016-08-2609:00:00,1,-0.5,-6.,323.75,323.25
2016-08-2610:00:00,1, 0.,-6.,323.25,323.25
2016-08-2611:00:00,1,-0.5,-6.5,323.25,322.75
2016-08-2612:00:00,1, 1.75,-4.75,322.75,324.5
2016-08-2613:00:00,1,-0.5,-5.25,324.5,324.0
2016-08-2614:00:00,1, 0.25,-5.,324.0,324.25
2016-08-2615:00:00,-1, 1.5,-3.5,324.25,322.75
2016-08-2616:00:00,1,-3.75,-7.25,322.75,319.0
2016-08-2617:00:00,-1, 0.25,-7.,319.0,318.75
2016-08-2618:00:00,1,-0.75,-7.75,318.75,318.0
2016-08-2619:00:00,1,-1.25,-9.,318.0,316.75
2016-08-2901:00:00,1,-0.5,-9.5,316.75,316.25
2016-08-2902:00:00,0, 0.,-9.5,316.25,317.75
2016-08-2903:00:00,-1, 0.5,-9.,317.75,317.25
2016-08-2904:00:00,1, 0.,-9.,317.25,317.25
2016-08-2905:00:00,0, 0.,-9.,317.25,317.75
2016-08-2906:00:00,-1, 0.75,-8.25,317.75,317.0
2016-08-2907:00:00,1,-0.75,-9.,317.0,316.25
2016-08-2908:00:00,1, 1.25,-7.75,316.25,317.5
2016-08-2909:00:00,-1, 0.5,-7.25,317.5,317.0
2016-08-2910:00:00,1,-0.5,-7.75,317.0,316.5
2016-08-2911:00:00,-1, 0.75,-7.,316.5,315.75
2016-08-2912:00:00,1,-0.25,-7.25,315.75,315.5
2016-08-2913:00:00,1,-0.5,-7.75,315.5,315.0
2016-08-2914:00:00,1,-1.25,-9.,315.0,313.75
2016-08-2915:00:00,1, 0.75,-8.25,313.75,314.5
2016-08-2916:00:00,1,-1.75,-10.,314.5,312.75
2016-08-2917:00:00,1,-0.75,-10.75,312.75,312.0
2016-08-2918:00:00,1,-0.25,-11.,312.0,311.75
2016-08-2919:00:00,1, 0.,-11.,311.75,311.75
2016-08-2923:00:00,1, 0.,-11.,311.75,311.75
2016-08-3001:00:00,1, 0.,-11.,311.75,311.75
2016-08-3002:00:00,-1,-0.,-11.,311.75,311.75
2016-08-3003:00:00,1,-0.25,-11.25,311.75,311.5
2016-08-3004:00:00,1,-0.5,-11.75,311.5,311.0
2016-08-3005:00:00,1, 0.5,-11.25,311.0,311.5
2016-08-3006:00:00,1,-0.5,-11.75,311.5,311.0
2016-08-3007:00:00,1, 0.25,-11.5,311.0,311.25
2016-08-3008:00:00,1,-0.75,-12.25,311.25,310.5
2016-08-3009:00:00,1, 0.,-12.25,310.5,310.5
2016-08-3010:00:00,1,-0.75,-13.,310.5,309.75
2016-08-3011:00:00,1, 0.75,-12.25,309.75,310.5
2016-08-3012:00:00,0, 0.,-12.25,310.5,311.75
2016-08-3013:00:00,-1, 0.25,-12.,311.75,311.5
2016-08-3014:00:00,1,-1.5,-13.5,311.5,310.0
2016-08-3015:00:00,1,-1.75,-15.25,310.0,308.25
2016-08-3016:00:00,1,-3.,-18.25,308.25,305.25
2016-08-3017:00:00,1,-0.25,-18.5,305.25,305.0
2016-08-3018:00:00,1,-0.25,-18.75,305.0,304.75
2016-08-3019:00:00,1,-0.5,-19.25,304.75,304.25
2016-08-3023:00:00,1,-0.25,-19.5,304.25,304.0
